RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
80904,2003-11,275559.5232019667,271891.0911369315,155926.71377065554,210745.87019229998,283999.4098126617,379481.68284106907,495215.70868214854,213811.10422401715,294792.4890382349,288987.2630905488,139021.01483262508,192783.8799710894,258309.30405536402,334923.73264365847,434663.6162372514,166994.40427503904
80904,2003-07,274161.4203063287,270479.79143051076,151091.71802795184,209224.83236867998,282614.04717969283,378828.5421152401,497802.55199960066,211736.7619840889,294168.4079427498,288389.8779902688,138061.01050143124,192424.65483759198,257990.32693322052,334453.4409173449,433542.5450151867,167028.5590643583
80904,2000-08,248343.8406547025,245240.15087668743,134466.51138633513,188833.20119934576,257897.2078186255,343854.43294094777,444101.3648306452,197138.58369306417,265747.7604753531,260523.99765635363,122613.30663406149,171900.45276780613,232879.2904907175,302750.28478725214,391492.54811144766,151567.71629588102
80904,2003-09,273697.8372015973,270112.0204316667,152964.708309001,209114.7558482202,282345.2050173932,376974.28175928845,494145.7719853753,212719.60383828424,293437.4563093162,287680.7241235015,138091.00053131767,191865.6285694613,257249.3191186942,333486.1547785039,432367.62164933956,166421.82469705667
80904,2000-10,249907.14515480705,246658.92459066174,135174.6049457572,190036.90661468852,258992.56400758348,345252.23562304024,446272.3974913607,196940.4860870062,267435.38788755063,262139.97614883113,123156.77781315266,173094.85072176033,234220.2172886279,304877.703140257,394363.0452669958,152245.10152713783
80904,2012-11,239603.18919610835,234563.92503272952,130746.10177327975,172339.25607269825,247781.13666619352,334382.70301114663,450016.6604681251,178224.26130574092,246744.1984637415,240932.1646002713,111591.62309484596,150987.9436372702,213183.67444842623,287930.8544258589,380636.7662465029,128102.59801803916
80904,2002-10,272370.49330949783,268759.36169283255,151430.49362383122,207486.04794709108,280558.75201991934,375557.4113361844,491592.8409890592,211538.84244589362,291702.82466860366,286021.78056868067,137416.89235261487,190718.9636005838,256251.71866132753,331287.50076589023,429515.70505165757,166180.24925728884
80904,2001-10,269166.2521906309,265494.9947104786,150252.80543788412,204469.97206058924,277210.64442793996,374495.52401858533,482569.9511092723,208545.00426777828,287325.2404284516,281636.2686230578,133761.0697361925,185943.35460002202,251802.3462378154,327098.1819068459,423889.0297573422,162449.16999897693
80904,2001-08,265090.95434407826,261426.42053191795,147660.04738274487,201464.50133896715,273303.1625617789,368783.6809327207,474294.234622196,205764.13315289008,282995.04986294504,277366.1723417459,131363.60639559734,182882.0886742488,247856.96123172354,322351.6065616038,417189.96991353616,159680.35084542484
80904,2011-01,246880.37056688056,242719.61785018444,133564.66023665154,180123.58027357247,257727.73155488932,347648.184851729,460413.36089319625,186907.76861130883,257330.03072262034,251411.9056981237,113563.20517886832,158752.5392333017,223247.07508126073,299041.74219679274,397455.5138812495,134108.46268811362
80904,2011-02,244733.5952416904,240680.47774862623,133820.97559753392,178752.97146818976,255314.34303801443,345187.22281219665,458029.31093584234,185825.09452607177,255496.97509175102,249614.2672376063,112843.71789408578,157586.4143405652,221520.54968007735,297215.3178946704,395269.1947084114,133262.63479128235
