ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80909,2025-05-31,373319.0079686703,355898.449400788,391592.27005725616,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-06-30,373539.9717981504,352546.2962782231,395783.79351586435,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-07-31,373885.8463221576,349250.0202470238,400259.4644981336,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-08-31,374281.694457866,345963.31270725833,404918.04090449255,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-09-30,374608.7164234209,342597.16407486936,409611.36032560864,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-10-31,374642.77920113376,338967.6585234654,414072.5773631088,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-11-30,374568.3157643307,335261.89903155254,418483.05333772243,2010.905178179198,4201064.426281833,2049.649830161687
80910,2024-12-31,332630.63771950523,330602.4409288256,334671.27719575656,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-01-31,331425.4128372292,327036.5236292045,335873.2017310338,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-02-28,330830.67934798426,323706.19607482024,338111.9661130958,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-03-31,330496.9616525175,320370.092967631,340943.9397096958,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-04-30,330433.7679648725,317107.3622013826,344320.2146222108,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-05-31,330184.1205056399,313532.1283002843,347720.51599658676,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-06-30,329893.8261557747,309829.55183781276,351257.4442629862,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-07-31,329743.57715472137,306201.8119780209,355095.3078050249,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-08-31,329543.40524046466,302496.17752351816,359009.01897855516,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-09-30,329339.1308533441,298776.6186143802,363027.94915564294,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-10-31,328841.8147967681,294800.912876353,366813.44743388676,4379.925383401273,19941664.7313052,4465.609110894638
80910,2025-11-30,328195.73196104367,290719.633688343,370502.8006223859,4379.925383401273,19941664.7313052,4465.609110894638
80915,2024-12-31,383087.42239101126,380478.4260072728,385714.3090456957,1774.7986582578258,3299926.571514284,1816.5700018205418
80915,2025-01-31,383112.9976429042,377528.7831198335,388779.8110385218,1774.7986582578258,3299926.571514284,1816.5700018205418
80915,2025-02-28,383244.66131071124,374283.508776675,392420.3631178392,1774.7986582578258,3299926.571514284,1816.5700018205418
