ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80919,2025-09-30,617596.56,556088.9859375,676099.4375,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-10-31,618093.4,557640.8546875,688183.428125,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-11-30,616323.56,552839.303125,673785.6140625,26933.952438578086,882029684.1800658,29698.984564797258
80920,2024-12-31,525356.25,469440.8515625,572337.015625,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-01-31,528648.5,485749.99453125,582150.3765625,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-02-28,531709.56,480046.740625,584591.4421875,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-03-31,536004.8,486442.475,589447.8749999999,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-04-30,540228.7,487550.30625,601858.340625,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-05-31,542450.7,488831.78515625,598310.5296875,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-06-30,543470.44,473592.11171875,601301.8359375,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-07-31,544161.6,488572.46328125,613601.9453125,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-08-31,541467.25,486704.12578125,608026.1609375,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-09-30,548793.4,495516.94921875,618790.9984375,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-10-31,550316.0,488706.8578125,612727.7046875,24296.70422072551,675242835.1376692,25985.435057694707
80920,2025-11-30,554557.75,487591.71796875,622442.3046875,24296.70422072551,675242835.1376692,25985.435057694707
80921,2024-12-31,714299.1,665377.98125,777250.9984375,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-01-31,717722.75,648564.8109375,786172.5515625,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-02-28,720811.1,660505.3796875,789797.4375,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-03-31,725421.75,661039.815625,781539.9390625,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-04-30,726899.6,670236.846875,788062.7796875,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-05-31,727551.2,665280.2984375,794593.7921875,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-06-30,730037.44,663088.9359375,795753.6187499999,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-07-31,731895.44,668099.7546875,793668.7375,11924.120328649335,215620963.46541455,14684.03770988806
